Plaque	Well	Starting fly	Death before 29C	Death after 29C	Total live fly	Bloating	Percent Bloating	Number of eggs	Tumor presence	Tumor percent corrected	Percent survival	Comments	RackNo	RackPos	CATNUM	mol weight Structure	Name	SecName	Class	Enzyme	Action	Selectivity	Description
1	7A	4	0	0	4	1	0.25	5		0	1		01	7A	A3539	175.61625	Gabaculine hydrochloride		GABA	Enzyme	Inhibitor	GABA transaminase	GABA transaminase inhibitor; conformationally constrained GABA analog
1	7B	4	0	1	3	1	0.333333333	8		0	0.75		01	7B	Y4877	313.78957	YM 976	4-(3-Chlorophenyl)-1,7-diethylpyrido[2,3-d]pyrimidin-2(1H)-one	Cyclic nucleotides	Enzyme	Inhibitor	PDE 4	Phosphodiesterase type IV (PDE4) inhibitor. Exhibits anti-inflammatory activity without emesis.
1	7C	4	0	1	3	2	0.666666667	10		0	0.75		01	7C	A3711	326.43957	AA-861	2-(12-Hydroxydodeca-5,10-diynyl)-3,5,6-trimethyl-p-benzoquinone	Leukotriene	Enzyme	Inhibitor	5-lipoxygenase	5-lipoxygenase inhibitor
1	7D	4	0	1	3	1	0.333333333	15		0	0.75		01	7D	A3773	234.7309	9-Amino-1,2,3,4-tetrahydroacridine hydrochloride	Tacrine hydrochloride; THA hydrochloride	Cholinergic	Enzyme	Inhibitor	Cholinesterase	"Cholinesterase inhibitor; reported to be useful 
in the treatment of Alzheimer's disease"
1	7E	4	0	2	2	1	0.5	10		0	0.5		01	7E	F3680	249.35557	10058-F4	5-[(4-Ethylphenyl)methylene]-2-thioxo-4-thiazolidinone	Apoptosis	Enzyme	Inhibitor	c-Myc	Inhibits c-Myc-Max interaction and prevents transactivation of c-Myc target gene expression.
1	7F	4	0	0	4	4	1	8		0	1		01	7F	A3940	134.14152	1-Aminobenzotriazole	ABT; 1-Benzotriazolamine	Multi-Drug Resistance	Enzyme	Inhibitor	CYP450, chloroperoxidase	Cytochrome P450 and chloroperoxidase inhibitor
1	7G	4	0	0	4	1	0.25	10		0	1		01	7G	A4147	161.15591	3-Amino-1-propanesulfonic acid sodium		GABA		Agonist	GABA-A	GABA-A receptor agonist
1	7H	4	0	0	4	4	1	8		0	1		01	7H	A4393	303.79151	Apomorphine hydrochloride hemihydrate	10,11-Dihydroxyaporphine hydrochloride hemihydrate	Dopamine		Agonist		Non-selective dopamine receptor agonist
1	8A	4	0	0	4	2	0.5	20		0	1		01	8A	A4508	218.59507	O-(Carboxymethyl)hydroxylamine hemihydrochloride	Aminooxyacetic acid; (Carboxymethoxy)amine hemihydrochloride	Biochemistry	Enzyme	Inhibitor	Aminotransferase	Non-selective aminotransferase inhibitor
1	8B	4	0	1	3	3	1	25		0	0.75		01	8B	A4562	294.14511	5-(N,N-Dimethyl)amiloride hydrochloride	"
3-Amino-N-(aminoiminoethyl)-5-(dimethylamino)-6-chloropyrazinecarboxamide hydrochloride; DMA"	Ion Pump		Blocker	Na+/H+ Antiporter	Selective blocker of Na+/H+ antiport
1	8C	4	0	1	3	2	0.666666667	10		0	0.75		01	8C	A4638	277.26584	Azathioprine		P2 Receptor	Enzyme	Inhibitor	Purine synthesis	Purine analog; purine synthesis inhibitor; immunosuppressant
1	8D	4	0	0	4	2	0.5	20		0	1		01	8D	A4669	225.20857	Acyclovir	Acycloguanosine	Immune System	Enzyme	Inhibitor	Viral DNA synthesis	Antiviral agent
1	8E	4	0	1	3	1	0.333333333	25		0	0.75		01	8E	SMl0881	400.43	"Rivastigmine tartrate
"	Ethylmethyl-carbamic acid 3-[(1S)-1-(dimethylamino)ethyl]phenyl ester tartrate	Cholinergics	Enzyme	Inhibitor	cholinesterase 	Rivastigmine is an orally available, brain penetrant, reversible cholinesterase inhibitor that enhances cognitive function in patients with Alzheimer's and Parkinson's diseases.
1	8F	4	0	1	3	1	0.333333333	15		0	0.75		01	8F	S9318	465.80119	Sandoz 58-035	3-[Decyldimethylsilyl]-N-[2-(4-methylphenyl)-1-phenethyl]propanamide	Lipid	Enzyme	Inhibitor	ACAT	Acyl-CoA:cholesterol acyltransferase (ACAT) inhibitor
1	8G	4	0	1	3	1	0.333333333	20		0	0.75		01	8G	A4910	169.07471	(±)-2-Amino-3-phosphonopropionic acid	(±)-AP-3	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist
1	8H	4	0	0	4	4	1	8		0	1		01	8H	A5006	174.20408	L-Arginine		Nitric Oxide		Precursor		Nitric oxide precursor
1	9A	4	0	0	4	4	1	10		0	1		01	9A	SML1081	529.65	"Ezatiostat
"	(2S)-2-Amino-5-[[(2R)-3-benzylsulfanyl-1-[[(1R)-2-ethoxy-2-oxo-1-phenylethyl]amino]1-xopropan-2-yl]amino]5-oxopentanoat	Cell signaling	Enzyme	Inhibitor	GSTP1-1	"Ezatiostat is an inhibitor of glutathione S-transferase P1-1 (GSTP1-1)
"
1	9B	4	0	0	4	4	1	10		0	1		01	9B	A5282	197.12889	(±)-2-Amino-5-phosphonopentanoic acid	(±)-AP-5; (±)-AP-V	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist
1	9C	4	0	2	2	1	0.5	15	1	0.5	0.5	Potentiellement 1 mouche sur 4 CyO : Elle est morte…	01	9C	A5330	472.39076	L-732,138	N-Acetyl-L-tryptophan 3,5-bis(trifluoromethyl)benzyl ester	Tachykinin		Antagonist	NK1 > NK2, NK3	Competitive antagonist at substance P receptors; approximately 1000-fold more potent at cloned human NK-1 receptors than at cloned human NK-2 and NK-3 receptors
1	9D	4	0	0	4	2	0.5	10		0	1		01	9D	A5376	180.16171	Acetylsalicylic acid	O-Acetylsalicylic acid; Aspirin	Prostaglandin	Enzyme	Inhibitor	COX-3 > COX-1 > COX-2	COX inhibitor; antithrombotic
1	9E	4	0	1	3	0	0	5		0	0.75		01	9E	A8001	645.75379	"Aconitine
"	Acetylbenzoylaconine	Ion Pump		Blocker	Na+/H+ Antiporter	Neurotoxin. Activates tetrodotoxin-sensitive Na+ channels. Aconitine also blocks norepinephrine reuptake
1	9F	4	0	2	2	0	0	15		0	0.5		01	9F	A5626	197.72867	Acetylthiocholine chloride		Cholinergic		Agonist	Nicotinic	Nicotinic acetylcholine receptor agonist; acetylcholinesterase substrate
1	9G	4	1	0	3	1	0.333333333	10		0	1		01	9G	T3955	443.39142	"TNP
"	N2-(m-Trifluorobenzyl), N6-(p-nitrobenzyl)purine; N6-[(4-nitrophenyl)methyl]-N2-[[3-(trifluoromethyl)phenyl]methyl]-9H-Purine-2,6-diamine; N6-[(4-nitrophenyl)methyl]-N2-[[3-(trifluoromethyl)phenyl]methyl]-1H-Purine-2,6-diamine	Ion Channels	Enzyme	Inhibitor	IP3K	TNP is a potent and selective IP6K inhibitor; less selective inhibitor of IP3K. 
1	9H	4	0	0	4	1	0.25	8		0	1		01	9H	A5879	281.01322	2-(2-Aminoethyl)isothiourea dihydrobromide	AET; S-(2-Aminoethyl)isothiouronium dihydrobromide	Nitric Oxide	Enzyme	Inhibitor	NOS	Inhibits constitutive and inducible nitric oxide synthase (NOS)
1	10A	4	0	0	4	3	0.75	15		0	1		01	10A	A5909	313.83043	N-Acetylprocainamide hydrochloride	Acedainide; N-Acetylnovocainamide hydrochloride; NAPA	Na+ Channel		Blocker		"Blocks Na+ channels and appears to have Class III anti-arrhythmic activity;
metabolite of Procainamide"
1	10B	4	0	0	4	4	1	20		0	1		01	10B	T9034	537.69688	Sodium Taurocholate hydrate	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oic-acid N-(2-sulfoethyl)amide	Multi-Drug Resistance		Modulator	Conjugate Pathway	Multi-drug resistance conjugate pathway modulator.
1	10C	4	0	1	3	2	0.666666667	10		0	0.75		01	10C	A5922	214.2247	Amifostine	2-(3-Aminopropyl)aminoethyl phosphorothioate; WR2721	Cell Stress		Inhibitor	Cytoprotectant	Radioprotective agent; selectively protects normal tissues from the damaging effects of anti-neoplastic radiation therapy
1	10D	4	0	1	3	1	0.333333333	30		0	0.75		01	10D	A6011	222.24542	Acetazolamide	N-[5-(Aminosulfonyl)-1,3,4-thiadiazol-2-yl]acetamide	Biochemistry	Enzyme	Inhibitor	Carbonic anhydrase	Carbonic anhydrase inhibitor; diuretic
1	10E	4	0	1	3	2	0.666666667	10		0	0.75		01	10E	A6134	236.11028	Arecoline hydrobromide	1-Methyl-1,2,5,6-tetrahydro-3-pyridinecarboxylic acid methyl ester hydrobromide	Cholinergic		Agonist		Acetylcholine receptor agonist
1	10F	4	0	0	4	0	0	30		0	1		01	10F	A6351	345.46691	A-315456	N-[3-(cyclohexylidene(1H-imidazol-4-ylmethyl)phenyl]ethanesulfonamide	Adrenoceptor		Antagonist	alpha1D	Selective alpha 1D-adrenoceptor antagonist
1	10G	4	0	1	3	1	0.333333333	25		0	0.75		01	10G	SML0860	513.89	Arbidol hydrochloride    	6-Bromo-4-((dimethylamino)methyl)-5-hydroxy-1-methyl-2-((phenylthio)methyl)-1H-Indole-3-carboxylic acid ethyl ester monohydrochloride	Antiviral		Inhibitor		Arbidol is a broad-spectrum antiviral that has demonstrated activity against a number of enveloped and non-enveloped viruses, and is used clinically to treat influenza
1	10H	4	0	0	4	3	0.75	8		0	1		01	10H	A6566	265.71729	2-Hydroxysaclofen	(±)-3-Amino-2-(4-chlorophenyl)-2-hydroxy-propylsulfonic acid	GABA		Antagonist	GABA-B	GABA-B receptor antagonist
1	11A	4	0	0	4	2	0.5	15		0	1		01	11A	A6671	385.5079	Actinonin	3-[[1-[(2-(Hydroxymethyl)-1-pyrrolidinyl)carbonyl]-2-methylpropyl]carbamoyl]octanohydroxamic acid	Biochemistry	Enzyme	Inhibitor	Leucine aminopeptidase	Leucine aminopeptidase inhibitor
1	11B	4	0	0	4	2	0.5	5		0	1		01	11B	SML0505	331.17631	Tienilic acid	Ticrynafen, Tienylic acid, [2,3-Dichloro-4-(2-thienylcarbonyl)phenoxy]-acetic acid	Multidrug Resistance	Enzyme	Inhibitor	P450	P450 inhibitor, a specific suicide substrate for CYP2C9 and CYP2C10; hepatotoxic
1	11C	4	0	0	4	2	0.5	15		0	1		01	11C	A6883	384.31682	Atropine methyl bromide		Cholinergic		Antagonist	Muscarinic	Competitive muscarinic acetylcholine receptor antagonist
1	11D	4	0	0	4	1	0.25	10		0	1		01	11D	SML0189	711.88463	Indinavir sulfate salt hydrate	2,3,5-Trideoxy-N-[(1S,2R)-2,3-dihydro-2-hydroxy-1H-inden-1-yl]-5-[(2S)-2-[[(1,1-dimethylethyl)amino]carbonyl]-4-(3-pyridinylmethyl)-1-piperazinyl]-2-(phenylmethyl)-D-erythro-pentonamide sulfate hydrate Crixivan hydrate L-735,524 hydrate MK-639 hydrate...	"

immune cell signaling
"	Enzyme	inhibitor	HIV	Indinavir sulfate is an antiviral HIV protease inhibitor
1	11E	4	0	0	4	2	0.5	15		0	1		01	11E	A7009	246.24908	Aminoguanidine hemisulfate	Hydrazinecarboximidamide hemisulfate	Nitric Oxide	Enzyme	Inhibitor	NOS	Selective nitric oxide synthase inhibitor
1	11F	4	1	0	3	2	0.666666667	20		0	1		01	11F	A7127	228.27167	Agmatine sulfate	(4-Aminobutyl)guanadine sulfate	Imidazoline		Agonist		Endogenous agonist at imidazoline receptors; may act as a neurotransmitter
1	11G	4	0	0	4	4	1	0		0	1		01	11G	A7148	208.09182	4-Aminobenzamidine dihydrochloride		Biochemistry	Enzyme	Inhibitor	Trypsin	Trypsin inhibitor; competitive kallikrein inhibitor
1	11H	4	0	0	4	3	0.75	8		0	1		01	11H	A7162	139.09185	3-Aminopropylphosphonic acid		GABA		Agonist	GABA-B	GABA-B receptor agonist
2	2A	4		0	4	2	0.5	10		0	1		02	2A	A7250	163.19638	N-Acetyl-L-Cysteine		Glutamate		Antagonist		Amino acid analog that partially improves neuronal survival following transient forebrain ischemia
2	2B	4		1	3	2	0.666666667	1		0	0.75		02	2B	A7275	161.15887	L-2-aminoadipic acid	Aad; (S)-2-Aminohexanedioic acid; L-Homoglutamic acid	Glutamate	Enzyme	Inhibitor	Glutamine synthetase	Glutamine synthetase inhibitor
2	2C	4		1	3	1	0.333333333	20	4	1.333333333	0.75	1 mouche est morte et bloating	02	2C	SML0476	381.4322	Rabeprazole sodium	2-([4-(3-Methoxypropoxy)-3-methylpyridin-2-yl]methylsulfinyl)-1H-benzo[d]imidazole, Pariprazole	Ion Channels		Inhibitor	Proton pump	Rabeprazole sodium is gastric proton pump inhibitor.
2	2D	4		1	3	2	0.666666667	10		0	0.75		02	2D	A7410	266.09093	Amiloride hydrochloride		Na+ Channel		Blocker	Epithelial	Epithelial Na+ channel blocker
2	2E	4		1	3	2	0.666666667	10		0	0.75		02	2E	A7655	266.34304	(±)-Atenolol		Adrenoceptor		Antagonist	beta1	"Selective beta1 adrenoceptor antagonist;
antihypertensive; antianginal; antiarrhythmic"
2	2F	4		1	3	0	0	40	3	1	0.75		02	2F	C1240	198.11533	Chlormethiazole hydrochloride	4-Methyl-5-(beta-chloroethyl)thiazole hydrochloride	GABA		Agonist	GABA(A)	GABA(A) agonist; glycine receptor modulator
2	2G	4		0	4	4	1	5		0	1		02	2G	A7762	115.13298	L-allylglycine	L-2-Amino-4-pentenoic acid	Biochemistry	Enzyme	Inhibitor	"
Glutamic acid decarboxylase"	Glutamic acid decarboxylase inhibitor
2	2H	4		1	3	1	0.333333333	20	3	1	0.75		02	2H	A6476	202.6857	ABT-418 hydrochloride	3-Methyl-5-[(2S)-1-methyl-2-pyrrolidinyl]isoxazole hydrochloride	Cholinergic		Agonist	nicotinic	Neuronal nicotinic acetylcholine receptor agonist with cognition enhancing and anxiolytic activities
2	3A	4		0	4	2	0.5	5		0	1		02	3A	A7824	131.17601	6-Aminohexanoic acid	6-Aminocaproic acid; EACA	Immune System		Inhibitor	Blood Clotting	Promotes rapid dissociation of plasmin, thereby inhibiting the activation of plasminogen and subsequent fibrinolysis; inhibits plasminogen binding to activated platelets
2	3B	4		0	4	2	0.5	20		0	1		02	3B	SML0075	428.66108	OBAA	4-(4-octadecylphenyl)-4-oxo-2-Butenoic acid 3-(4-octadecyl)benzoylacrylic acid 	Phospholipases	Enzyme	Inhibitor		OBAA is a potent inhibitor of phospholipases.
2	3C	4		1	3	2	0.666666667	5		0	0.75	1 mouche est morte et bloating	02	3C	A8003	136.11383	Allopurinol	1H-Pyrazolo[3,4-d]pyrimidin-4-ol	Cell Stress	Enzyme	Inhibitor	Xanthine oxidase	Xanthine oxidase inhibitor; inhibits the final step in uric acid biosynthesis
2	3D	4		1	3	0	0	20		0	0.75		02	3D	A8404	313.87398	Amitriptyline hydrochloride		Adrenoceptor		Inhibitor	Uptake	Tricyclic antidepressant
2	3E	4		0	4	4	1	10		0	1		02	3E	A8423	681.78455	Amiodarone hydrochloride		Adrenoceptor		Agonist	alpha/beta	alpha and beta adrenoceptor agonist; inhibits binding of 1,4-dihydropyridine to L-type Ca2+ channels; coronary vasodilator
2	3F	4		0	4	2	0.5	15		0	1		02	3F	A8456	239.69777	4-(2-Aminoethyl)benzenesulfonyl fluoride hydrochloride	AEBSF	Biochemistry	Enzyme	Inhibitor	Serine Protease	Irreversible serine protease inhibitor
2	3G	4		1	3	2	0.666666667	10		0	0.75		02	3G	A8598	261.66669	Ancitabine hydrochloride	Cyclocytidine hydrochloride; Cyclo-C	DNA Metabolism		Inhibitor		Antineoplastic
2	3H	4		1	3	0	0	10	0	0	0.75	1 mouche sur 4 semble CyO : non-bloating, mais GFP +	02	3H	A8676	285.81703	Alprenolol hydrochloride		Adrenoceptor		Antagonist	beta	beta Adrenoceptor antagonist
2	4A	4		0	4	4	1	5		0	1		02	4A	A8723	210.28401	Altretamine	N,N,N',N',N'',N''-Hexamethyl-1,3,5-triazine-2,4,6-triamine	DNA Metabolism		Inhibitor		Antineoplastic
2	4B	4		0	4	2	0.5	5		0	1		02	4B	SML1249	519.65211	KT185	(2-Phenylpiperidin-1-?yl)(4-(3'-(piperidine-1-carbonyl)-[1,1'-biphenyl]-4-yl)-1H-1,2,3-triazol-1-yl)methanone	Cell Signaling and Neuoroscience		Agonist	P2	KT185 is a very potent, selective inhibitor of a/b-Hydrolase Domain Containing 6 (ABHD6)
2	4C	4		1	3	3	1	5		0	0.75		02	4C	A8835	110.54674	Aminoguanidine hydrochloride	Guanylhydrazine hydrochloride	Nitric Oxide	Enzyme	Inhibitor	NOS	Inhibits inducible and constitutive NOS
2	4D	4		2	2	2	1	10		0	0.5	1 mouche est morte et bloating	02	4D	A9013	566.42471	BW 284c51	1,5-Bis(4-allyldimethylammoniumphenyl)pentan-3-one dibromide	Cholinergic	Enzyme	Inhibitor	Acetylcholinesterase	Selective acetylcholinesterase inhibitor
2	4E	4		1	3	3	1	10		0	0.75		02	4E	A9251	267.24621	Adenosine		Adenosine		Agonist		Endogenous neurotransmitter and neuromodulator
2	4F	4		2	2	2	1	10		0	0.5		02	4F	A9256	133.10469	L-Aspartic acid		Glutamate		Agonist		Endogenous excitatory amino acid neurotransmitter
2	4G	4		2	2	0	0	15	3	1.5	0.5	1 mouche est morte et bloating	02	4G	SML0517	298.30098	Amlexanox	2-Amino-7-(1-methylethyl)-5-oxo-5H-[1]Benzopyrano[2,3-b]pyridine-3-carboxylic acid, AA 673, Amoxanox, CHX 3673					Anti-allergy and anti-asthma drug that blocks histamine and leukotriene release from leukocytes and mast cells.
2	4H	4		0	4	1	0.25	3	3	0.75	1		02	4H	A9345	272.69303	N-(4-Amino-2-chlorophenyl)phthalimide		Anticonvulsant				Potent anticonvulsant
2	5A	4		0	4	1	0.25	30	4	1	1	1 mouche sur 4 semble CyO : non-bloating, mais tumeur +	02	5A	A9501	329.21084	Adenosine 3',5'-cyclic monophosphate	cAMP; 3',5'-Cyclic AMP	Phosphorylation	Enzyme	Activator	PKA	PKA activator; second messenger
